2025-12-28 18:45:35,051 | INFO | Logging initialized. Log file: results\continuous_control\run_20251228_184535\run.log
2025-12-28 18:45:35,052 | INFO | Results will be saved to: results\continuous_control\run_20251228_184535
2025-12-28 18:45:35,052 | INFO | Seeds: (29,)
2025-12-28 18:45:35,052 | INFO | Unity exe: C:\Users\anhtu\pyspark\Reinforcement_Learning_Projects\deep-reinforcement-learning-master\p2_continuous-control\20_Agents_Reacher_Windows_x86_64\Reacher.exe
2025-12-28 18:45:35,056 | INFO | Hyperparameter search enabled. Trials to run: 10 (max-trials=10)
2025-12-28 18:45:35,058 | INFO | [trial_001] Starting trial with hparams: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-28 19:07:24,414 | INFO | [trial_001 | seed 29] elapsed_time 00:21:49, episode 0015, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 17.43±15.31, mean_exploration_ratio_over_100_episodes_from_training 0.0155±0.0012, mean_reward_over_100_episodes_from_eval 18.44±15.45
2025-12-28 19:08:23,170 | INFO | [trial_001 | seed 29] elapsed_time 00:22:48, episode 0016, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 18.58±15.54, mean_exploration_ratio_over_100_episodes_from_training 0.0156±0.0013, mean_reward_over_100_episodes_from_eval 19.39±15.46
2025-12-28 19:09:17,400 | INFO | [trial_001 | seed 29] elapsed_time 00:23:42, episode 0017, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 19.46±15.54, mean_exploration_ratio_over_100_episodes_from_training 0.0157±0.0013, mean_reward_over_100_episodes_from_eval 20.15±15.35
2025-12-28 19:10:13,493 | INFO | [trial_001 | seed 29] elapsed_time 00:24:38, episode 0018, episode_env_steps 1001, episode_sum_max_reward_per_step 39.589999, episode_sum_max_abs_reward_per_step 39.589999, mean_reward_over_100_episodes_from_training 20.10±15.36, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0014, mean_reward_over_100_episodes_from_eval 20.87±15.25
2025-12-28 19:11:07,745 | INFO | [trial_001 | seed 29] elapsed_time 00:25:32, episode 0019, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 20.82±15.30, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0013, mean_reward_over_100_episodes_from_eval 21.35±15.01
2025-12-28 19:12:02,106 | INFO | [trial_001 | seed 29] elapsed_time 00:26:27, episode 0020, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 21.39±15.15, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0013, mean_reward_over_100_episodes_from_eval 22.02±14.95
2025-12-28 19:12:59,135 | INFO | [trial_001 | seed 29] elapsed_time 00:27:24, episode 0021, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 21.96±15.03, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0013, mean_reward_over_100_episodes_from_eval 22.62±14.86
2025-12-28 19:13:59,271 | INFO | [trial_001 | seed 29] elapsed_time 00:28:24, episode 0022, episode_env_steps 1001, episode_sum_max_reward_per_step 39.599999, episode_sum_max_abs_reward_per_step 39.599999, mean_reward_over_100_episodes_from_training 22.51±14.92, mean_exploration_ratio_over_100_episodes_from_training 0.0159±0.0013, mean_reward_over_100_episodes_from_eval 23.17±14.77
2025-12-28 19:14:54,044 | INFO | [trial_001 | seed 29] elapsed_time 00:29:18, episode 0023, episode_env_steps 1001, episode_sum_max_reward_per_step 39.659999, episode_sum_max_abs_reward_per_step 39.659999, mean_reward_over_100_episodes_from_training 22.97±14.77, mean_exploration_ratio_over_100_episodes_from_training 0.0160±0.0013, mean_reward_over_100_episodes_from_eval 23.61±14.61
2025-12-28 19:15:48,298 | INFO | [trial_001 | seed 29] elapsed_time 00:30:13, episode 0024, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 23.52±14.72, mean_exploration_ratio_over_100_episodes_from_training 0.0160±0.0013, mean_reward_over_100_episodes_from_eval 24.14±14.55
2025-12-28 19:16:42,926 | INFO | [trial_001 | seed 29] elapsed_time 00:31:07, episode 0025, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 24.03±14.66, mean_exploration_ratio_over_100_episodes_from_training 0.0159±0.0014, mean_reward_over_100_episodes_from_eval 24.66±14.50
2025-12-28 19:17:35,216 | INFO | [trial_001 | seed 29] elapsed_time 00:32:00, episode 0026, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 24.44±14.54, mean_exploration_ratio_over_100_episodes_from_training 0.0159±0.0013, mean_reward_over_100_episodes_from_eval 25.04±14.36
2025-12-28 19:18:30,412 | INFO | [trial_001 | seed 29] elapsed_time 00:32:55, episode 0027, episode_env_steps 1001, episode_sum_max_reward_per_step 39.699999, episode_sum_max_abs_reward_per_step 39.699999, mean_reward_over_100_episodes_from_training 24.83±14.42, mean_exploration_ratio_over_100_episodes_from_training 0.0159±0.0013, mean_reward_over_100_episodes_from_eval 25.28±14.16
2025-12-28 19:19:26,338 | INFO | [trial_001 | seed 29] elapsed_time 00:33:51, episode 0028, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 25.10±14.24, mean_exploration_ratio_over_100_episodes_from_training 0.0159±0.0013, mean_reward_over_100_episodes_from_eval 25.58±14.00
2025-12-28 19:20:22,444 | INFO | [trial_001 | seed 29] elapsed_time 00:34:47, episode 0029, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 25.43±14.11, mean_exploration_ratio_over_100_episodes_from_training 0.0159±0.0013, mean_reward_over_100_episodes_from_eval 25.92±13.89
2025-12-28 19:21:17,855 | INFO | [trial_001 | seed 29] elapsed_time 00:35:42, episode 0030, episode_env_steps 1001, episode_sum_max_reward_per_step 39.599999, episode_sum_max_abs_reward_per_step 39.599999, mean_reward_over_100_episodes_from_training 25.76±14.00, mean_exploration_ratio_over_100_episodes_from_training 0.0159±0.0013, mean_reward_over_100_episodes_from_eval 26.26±13.79
2025-12-28 19:22:11,549 | INFO | [trial_001 | seed 29] elapsed_time 00:36:36, episode 0031, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 26.10±13.91, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0013, mean_reward_over_100_episodes_from_eval 26.56±13.67
2025-12-28 19:23:04,438 | INFO | [trial_001 | seed 29] elapsed_time 00:37:29, episode 0032, episode_env_steps 1001, episode_sum_max_reward_per_step 39.709999, episode_sum_max_abs_reward_per_step 39.709999, mean_reward_over_100_episodes_from_training 26.34±13.76, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0013, mean_reward_over_100_episodes_from_eval 26.86±13.57
2025-12-28 19:23:59,049 | INFO | [trial_001 | seed 29] elapsed_time 00:38:23, episode 0033, episode_env_steps 1001, episode_sum_max_reward_per_step 39.699999, episode_sum_max_abs_reward_per_step 39.699999, mean_reward_over_100_episodes_from_training 26.65±13.68, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0012, mean_reward_over_100_episodes_from_eval 27.16±13.48
2025-12-28 19:24:56,038 | INFO | [trial_001 | seed 29] elapsed_time 00:39:20, episode 0034, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 26.86±13.54, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0012, mean_reward_over_100_episodes_from_eval 27.34±13.33
2025-12-28 19:25:49,729 | INFO | [trial_001 | seed 29] elapsed_time 00:40:14, episode 0035, episode_env_steps 1001, episode_sum_max_reward_per_step 39.619999, episode_sum_max_abs_reward_per_step 39.619999, mean_reward_over_100_episodes_from_training 27.02±13.38, mean_exploration_ratio_over_100_episodes_from_training 0.0158±0.0012, mean_reward_over_100_episodes_from_eval 27.41±13.15
2025-12-28 19:26:43,912 | INFO | [trial_001 | seed 29] elapsed_time 00:41:08, episode 0036, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 27.15±13.22, mean_exploration_ratio_over_100_episodes_from_training 0.0157±0.0012, mean_reward_over_100_episodes_from_eval 27.64±13.04
2025-12-28 19:27:37,188 | INFO | [trial_001 | seed 29] elapsed_time 00:42:02, episode 0037, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 27.34±13.10, mean_exploration_ratio_over_100_episodes_from_training 0.0157±0.0012, mean_reward_over_100_episodes_from_eval 27.86±12.94
2025-12-28 19:28:31,135 | INFO | [trial_001 | seed 29] elapsed_time 00:42:56, episode 0038, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 27.46±12.95, mean_exploration_ratio_over_100_episodes_from_training 0.0156±0.0013, mean_reward_over_100_episodes_from_eval 27.95±12.78
2025-12-28 19:29:25,468 | INFO | [trial_001 | seed 29] elapsed_time 00:43:50, episode 0039, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 27.62±12.82, mean_exploration_ratio_over_100_episodes_from_training 0.0156±0.0013, mean_reward_over_100_episodes_from_eval 28.16±12.69
2025-12-28 19:30:19,867 | INFO | [trial_001 | seed 29] elapsed_time 00:44:44, episode 0040, episode_env_steps 1001, episode_sum_max_reward_per_step 39.729999, episode_sum_max_abs_reward_per_step 39.729999, mean_reward_over_100_episodes_from_training 27.75±12.70, mean_exploration_ratio_over_100_episodes_from_training 0.0156±0.0013, mean_reward_over_100_episodes_from_eval 28.35±12.60
2025-12-28 19:31:14,136 | INFO | [trial_001 | seed 29] elapsed_time 00:45:39, episode 0041, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 27.81±12.55, mean_exploration_ratio_over_100_episodes_from_training 0.0156±0.0013, mean_reward_over_100_episodes_from_eval 28.52±12.49
2025-12-28 19:32:06,915 | INFO | [trial_001 | seed 29] elapsed_time 00:46:31, episode 0042, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 27.97±12.45, mean_exploration_ratio_over_100_episodes_from_training 0.0156±0.0013, mean_reward_over_100_episodes_from_eval 28.71±12.41
2025-12-28 19:33:11,977 | INFO | [trial_001 | seed 29] elapsed_time 00:47:36, episode 0043, episode_env_steps 1001, episode_sum_max_reward_per_step 39.589999, episode_sum_max_abs_reward_per_step 39.589999, mean_reward_over_100_episodes_from_training 28.18±12.38, mean_exploration_ratio_over_100_episodes_from_training 0.0155±0.0013, mean_reward_over_100_episodes_from_eval 28.88±12.32
2025-12-28 19:34:15,656 | INFO | [trial_001 | seed 29] elapsed_time 00:48:40, episode 0044, episode_env_steps 1001, episode_sum_max_reward_per_step 39.689999, episode_sum_max_abs_reward_per_step 39.689999, mean_reward_over_100_episodes_from_training 28.30±12.27, mean_exploration_ratio_over_100_episodes_from_training 0.0155±0.0013, mean_reward_over_100_episodes_from_eval 28.93±12.18
2025-12-28 19:35:10,289 | INFO | [trial_001 | seed 29] elapsed_time 00:49:35, episode 0045, episode_env_steps 1001, episode_sum_max_reward_per_step 39.659999, episode_sum_max_abs_reward_per_step 39.659999, mean_reward_over_100_episodes_from_training 28.39±12.15, mean_exploration_ratio_over_100_episodes_from_training 0.0154±0.0014, mean_reward_over_100_episodes_from_eval 28.99±12.06
2025-12-28 19:36:05,463 | INFO | [trial_001 | seed 29] elapsed_time 00:50:30, episode 0046, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 28.47±12.03, mean_exploration_ratio_over_100_episodes_from_training 0.0154±0.0014, mean_reward_over_100_episodes_from_eval 29.03±11.93
2025-12-28 19:37:01,071 | INFO | [trial_001 | seed 29] elapsed_time 00:51:26, episode 0047, episode_env_steps 1001, episode_sum_max_reward_per_step 39.679999, episode_sum_max_abs_reward_per_step 39.679999, mean_reward_over_100_episodes_from_training 28.55±11.92, mean_exploration_ratio_over_100_episodes_from_training 0.0154±0.0014, mean_reward_over_100_episodes_from_eval 29.19±11.86
2025-12-28 19:37:55,952 | INFO | [trial_001 | seed 29] elapsed_time 00:52:20, episode 0048, episode_env_steps 1001, episode_sum_max_reward_per_step 39.569999, episode_sum_max_abs_reward_per_step 39.569999, mean_reward_over_100_episodes_from_training 28.68±11.83, mean_exploration_ratio_over_100_episodes_from_training 0.0153±0.0014, mean_reward_over_100_episodes_from_eval 29.29±11.76
2025-12-28 19:38:51,343 | INFO | [trial_001 | seed 29] elapsed_time 00:53:16, episode 0049, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 28.83±11.76, mean_exploration_ratio_over_100_episodes_from_training 0.0153±0.0014, mean_reward_over_100_episodes_from_eval 29.40±11.66
2025-12-28 19:39:48,602 | INFO | [trial_001 | seed 29] elapsed_time 00:54:13, episode 0050, episode_env_steps 1001, episode_sum_max_reward_per_step 39.679999, episode_sum_max_abs_reward_per_step 39.679999, mean_reward_over_100_episodes_from_training 28.94±11.67, mean_exploration_ratio_over_100_episodes_from_training 0.0152±0.0014, mean_reward_over_100_episodes_from_eval 29.55±11.59
2025-12-28 19:40:44,106 | INFO | [trial_001 | seed 29] elapsed_time 00:55:09, episode 0051, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 29.07±11.59, mean_exploration_ratio_over_100_episodes_from_training 0.0152±0.0014, mean_reward_over_100_episodes_from_eval 29.68±11.52
2025-12-28 19:41:38,656 | INFO | [trial_001 | seed 29] elapsed_time 00:56:03, episode 0052, episode_env_steps 1001, episode_sum_max_reward_per_step 39.709999, episode_sum_max_abs_reward_per_step 39.709999, mean_reward_over_100_episodes_from_training 29.21±11.52, mean_exploration_ratio_over_100_episodes_from_training 0.0152±0.0014, mean_reward_over_100_episodes_from_eval 29.84±11.47
2025-12-28 19:42:34,220 | INFO | [trial_001 | seed 29] elapsed_time 00:56:59, episode 0053, episode_env_steps 1001, episode_sum_max_reward_per_step 39.659999, episode_sum_max_abs_reward_per_step 39.659999, mean_reward_over_100_episodes_from_training 29.34±11.46, mean_exploration_ratio_over_100_episodes_from_training 0.0151±0.0015, mean_reward_over_100_episodes_from_eval 29.92±11.38
2025-12-28 19:43:29,567 | INFO | [trial_001 | seed 29] elapsed_time 00:57:54, episode 0054, episode_env_steps 1001, episode_sum_max_reward_per_step 39.699999, episode_sum_max_abs_reward_per_step 39.699999, mean_reward_over_100_episodes_from_training 29.45±11.38, mean_exploration_ratio_over_100_episodes_from_training 0.0151±0.0015, mean_reward_over_100_episodes_from_eval 30.00±11.29
2025-12-28 19:44:27,069 | INFO | [trial_001 | seed 29] elapsed_time 00:58:52, episode 0055, episode_env_steps 1001, episode_sum_max_reward_per_step 39.719999, episode_sum_max_abs_reward_per_step 39.719999, mean_reward_over_100_episodes_from_training 29.55±11.30, mean_exploration_ratio_over_100_episodes_from_training 0.0151±0.0015, mean_reward_over_100_episodes_from_eval 30.09±11.21
2025-12-28 19:45:22,103 | INFO | [trial_001 | seed 29] elapsed_time 00:59:47, episode 0056, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 29.64±11.23, mean_exploration_ratio_over_100_episodes_from_training 0.0150±0.0015, mean_reward_over_100_episodes_from_eval 30.11±11.11
2025-12-28 19:46:16,595 | INFO | [trial_001 | seed 29] elapsed_time 01:00:41, episode 0057, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 29.75±11.16, mean_exploration_ratio_over_100_episodes_from_training 0.0150±0.0016, mean_reward_over_100_episodes_from_eval 30.23±11.05
2025-12-28 19:47:10,526 | INFO | [trial_001 | seed 29] elapsed_time 01:01:35, episode 0058, episode_env_steps 1001, episode_sum_max_reward_per_step 39.689999, episode_sum_max_abs_reward_per_step 39.689999, mean_reward_over_100_episodes_from_training 29.83±11.08, mean_exploration_ratio_over_100_episodes_from_training 0.0149±0.0016, mean_reward_over_100_episodes_from_eval 30.31±10.98
2025-12-28 19:48:06,142 | INFO | [trial_001 | seed 29] elapsed_time 01:02:31, episode 0059, episode_env_steps 1001, episode_sum_max_reward_per_step 39.709999, episode_sum_max_abs_reward_per_step 39.709999, mean_reward_over_100_episodes_from_training 29.91±11.01, mean_exploration_ratio_over_100_episodes_from_training 0.0149±0.0016, mean_reward_over_100_episodes_from_eval 30.38±10.90
2025-12-28 19:49:04,778 | INFO | [trial_001 | seed 29] elapsed_time 01:03:29, episode 0060, episode_env_steps 1001, episode_sum_max_reward_per_step 39.729999, episode_sum_max_abs_reward_per_step 39.729999, mean_reward_over_100_episodes_from_training 29.96±10.92, mean_exploration_ratio_over_100_episodes_from_training 0.0148±0.0016, mean_reward_over_100_episodes_from_eval 30.43±10.82
2025-12-28 19:50:08,008 | INFO | [trial_001 | seed 29] elapsed_time 01:04:32, episode 0061, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 29.99±10.84, mean_exploration_ratio_over_100_episodes_from_training 0.0148±0.0017, mean_reward_over_100_episodes_from_eval 30.45±10.73
2025-12-28 19:51:14,537 | INFO | [trial_001 | seed 29] elapsed_time 01:05:39, episode 0062, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 30.07±10.77, mean_exploration_ratio_over_100_episodes_from_training 0.0147±0.0017, mean_reward_over_100_episodes_from_eval 30.54±10.67
2025-12-28 19:52:48,889 | INFO | [trial_001 | seed 29] elapsed_time 01:07:13, episode 0063, episode_env_steps 1001, episode_sum_max_reward_per_step 39.709999, episode_sum_max_abs_reward_per_step 39.709999, mean_reward_over_100_episodes_from_training 30.14±10.70, mean_exploration_ratio_over_100_episodes_from_training 0.0147±0.0017, mean_reward_over_100_episodes_from_eval 30.57±10.59
2025-12-28 19:53:52,806 | INFO | [trial_001 | seed 29] elapsed_time 01:08:17, episode 0064, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 30.18±10.62, mean_exploration_ratio_over_100_episodes_from_training 0.0147±0.0017, mean_reward_over_100_episodes_from_eval 30.57±10.51
