2025-12-29 22:50:41,816 | INFO | Logging initialized. Log file: results\continuous_control\run_20251229_225041\run.log
2025-12-29 22:50:41,816 | INFO | Results will be saved to: results\continuous_control\run_20251229_225041
2025-12-29 22:50:41,816 | INFO | Seeds: (33, 41, 66, 39, 8, 77, 21, 20, 44, 22)
2025-12-29 22:50:41,816 | INFO | Unity exe: C:\Users\anhtu\pyspark\Reinforcement_Learning_Projects\deep-reinforcement-learning-master\p2_continuous-control\20_Agents_Reacher_Windows_x86_64\Reacher.exe
2025-12-29 22:50:41,816 | INFO | No hyperparameter search requested; running a single configuration.
2025-12-29 22:50:41,816 | INFO | Using hyperparameters: {"batch_size":500,"buffer_size":100000,"exploration_noise_ratio":0.05,"hidden_dims":[256,256],"lr":0.0005,"n_warmup_batches":5,"optimizer":"Adam","target_update_every":5,"tau":0.01}
2025-12-29 22:53:12,340 | INFO | [default | seed 33] elapsed_time 00:02:30, episode 0002, episode_env_steps 1001, episode_sum_max_reward_per_step 21.000000, episode_sum_max_abs_reward_per_step 21.000000, mean_reward_over_100_episodes_from_training 01.13±00.56, mean_exploration_ratio_over_100_episodes_from_training 0.0141±0.0007, mean_reward_over_100_episodes_from_eval 01.08±00.46
2025-12-29 22:54:13,331 | INFO | [default | seed 33] elapsed_time 00:03:31, episode 0003, episode_env_steps 1001, episode_sum_max_reward_per_step 20.040000, episode_sum_max_abs_reward_per_step 20.040000, mean_reward_over_100_episodes_from_training 01.19±00.50, mean_exploration_ratio_over_100_episodes_from_training 0.0141±0.0006, mean_reward_over_100_episodes_from_eval 01.24±00.49
2025-12-29 22:55:02,722 | INFO | [default | seed 33] elapsed_time 00:04:20, episode 0004, episode_env_steps 1001, episode_sum_max_reward_per_step 21.060000, episode_sum_max_abs_reward_per_step 21.060000, mean_reward_over_100_episodes_from_training 01.29±00.49, mean_exploration_ratio_over_100_episodes_from_training 0.0141±0.0005, mean_reward_over_100_episodes_from_eval 01.35±00.48
2025-12-29 22:55:49,273 | INFO | [default | seed 33] elapsed_time 00:05:07, episode 0005, episode_env_steps 1001, episode_sum_max_reward_per_step 32.839999, episode_sum_max_abs_reward_per_step 32.839999, mean_reward_over_100_episodes_from_training 01.60±00.84, mean_exploration_ratio_over_100_episodes_from_training 0.0140±0.0005, mean_reward_over_100_episodes_from_eval 01.74±00.98
2025-12-29 22:56:34,916 | INFO | [default | seed 33] elapsed_time 00:05:53, episode 0006, episode_env_steps 1001, episode_sum_max_reward_per_step 32.589999, episode_sum_max_abs_reward_per_step 32.589999, mean_reward_over_100_episodes_from_training 01.84±00.96, mean_exploration_ratio_over_100_episodes_from_training 0.0140±0.0005, mean_reward_over_100_episodes_from_eval 02.31±01.67
2025-12-29 22:57:21,364 | INFO | [default | seed 33] elapsed_time 00:06:39, episode 0007, episode_env_steps 1001, episode_sum_max_reward_per_step 36.469999, episode_sum_max_abs_reward_per_step 36.469999, mean_reward_over_100_episodes_from_training 02.16±01.24, mean_exploration_ratio_over_100_episodes_from_training 0.0139±0.0005, mean_reward_over_100_episodes_from_eval 02.40±01.58
2025-12-29 22:58:13,868 | INFO | [default | seed 33] elapsed_time 00:07:32, episode 0008, episode_env_steps 1001, episode_sum_max_reward_per_step 35.329999, episode_sum_max_abs_reward_per_step 35.329999, mean_reward_over_100_episodes_from_training 02.44±01.42, mean_exploration_ratio_over_100_episodes_from_training 0.0140±0.0006, mean_reward_over_100_episodes_from_eval 02.67±01.67
2025-12-29 22:59:00,100 | INFO | [default | seed 33] elapsed_time 00:08:18, episode 0009, episode_env_steps 1001, episode_sum_max_reward_per_step 38.529999, episode_sum_max_abs_reward_per_step 38.529999, mean_reward_over_100_episodes_from_training 02.85±01.82, mean_exploration_ratio_over_100_episodes_from_training 0.0140±0.0006, mean_reward_over_100_episodes_from_eval 03.03±01.93
2025-12-29 22:59:54,648 | INFO | [default | seed 33] elapsed_time 00:09:12, episode 0010, episode_env_steps 1001, episode_sum_max_reward_per_step 39.479999, episode_sum_max_abs_reward_per_step 39.479999, mean_reward_over_100_episodes_from_training 03.38±02.40, mean_exploration_ratio_over_100_episodes_from_training 0.0139±0.0006, mean_reward_over_100_episodes_from_eval 03.46±02.28
2025-12-29 23:00:41,772 | INFO | [default | seed 33] elapsed_time 00:09:59, episode 0011, episode_env_steps 1001, episode_sum_max_reward_per_step 39.419999, episode_sum_max_abs_reward_per_step 39.419999, mean_reward_over_100_episodes_from_training 03.87±02.81, mean_exploration_ratio_over_100_episodes_from_training 0.0139±0.0006, mean_reward_over_100_episodes_from_eval 04.09±03.01
2025-12-29 23:01:28,439 | INFO | [default | seed 33] elapsed_time 00:10:46, episode 0012, episode_env_steps 1001, episode_sum_max_reward_per_step 39.519999, episode_sum_max_abs_reward_per_step 39.519999, mean_reward_over_100_episodes_from_training 04.47±03.43, mean_exploration_ratio_over_100_episodes_from_training 0.0139±0.0006, mean_reward_over_100_episodes_from_eval 04.84±03.90
2025-12-29 23:02:14,312 | INFO | [default | seed 33] elapsed_time 00:11:32, episode 0013, episode_env_steps 1001, episode_sum_max_reward_per_step 39.559999, episode_sum_max_abs_reward_per_step 39.559999, mean_reward_over_100_episodes_from_training 05.19±04.19, mean_exploration_ratio_over_100_episodes_from_training 0.0139±0.0006, mean_reward_over_100_episodes_from_eval 05.42±04.30
2025-12-29 23:02:59,925 | INFO | [default | seed 33] elapsed_time 00:12:18, episode 0014, episode_env_steps 1001, episode_sum_max_reward_per_step 39.499999, episode_sum_max_abs_reward_per_step 39.499999, mean_reward_over_100_episodes_from_training 05.95±04.95, mean_exploration_ratio_over_100_episodes_from_training 0.0139±0.0006, mean_reward_over_100_episodes_from_eval 06.11±04.88
2025-12-29 23:03:45,513 | INFO | [default | seed 33] elapsed_time 00:13:03, episode 0015, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 06.56±05.34, mean_exploration_ratio_over_100_episodes_from_training 0.0139±0.0006, mean_reward_over_100_episodes_from_eval 06.71±05.27
2025-12-29 23:04:30,426 | INFO | [default | seed 33] elapsed_time 00:13:48, episode 0016, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 07.05±05.55, mean_exploration_ratio_over_100_episodes_from_training 0.0140±0.0005, mean_reward_over_100_episodes_from_eval 07.24±05.53
2025-12-29 23:05:16,367 | INFO | [default | seed 33] elapsed_time 00:14:34, episode 0017, episode_env_steps 1001, episode_sum_max_reward_per_step 39.589999, episode_sum_max_abs_reward_per_step 39.589999, mean_reward_over_100_episodes_from_training 07.71±06.04, mean_exploration_ratio_over_100_episodes_from_training 0.0141±0.0008, mean_reward_over_100_episodes_from_eval 07.90±06.03
2025-12-29 23:06:01,911 | INFO | [default | seed 33] elapsed_time 00:15:20, episode 0018, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 08.28±06.34, mean_exploration_ratio_over_100_episodes_from_training 0.0142±0.0008, mean_reward_over_100_episodes_from_eval 08.55±06.49
2025-12-29 23:06:48,618 | INFO | [default | seed 33] elapsed_time 00:16:06, episode 0019, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 08.89±06.74, mean_exploration_ratio_over_100_episodes_from_training 0.0142±0.0008, mean_reward_over_100_episodes_from_eval 09.22±06.97
2025-12-29 23:07:33,971 | INFO | [default | seed 33] elapsed_time 00:16:52, episode 0020, episode_env_steps 1001, episode_sum_max_reward_per_step 39.679999, episode_sum_max_abs_reward_per_step 39.679999, mean_reward_over_100_episodes_from_training 09.37±06.92, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 09.79±07.25
2025-12-29 23:08:19,991 | INFO | [default | seed 33] elapsed_time 00:17:38, episode 0021, episode_env_steps 1001, episode_sum_max_reward_per_step 39.659999, episode_sum_max_abs_reward_per_step 39.659999, mean_reward_over_100_episodes_from_training 09.96±07.28, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0009, mean_reward_over_100_episodes_from_eval 10.39±07.60
2025-12-29 23:09:05,345 | INFO | [default | seed 33] elapsed_time 00:18:23, episode 0022, episode_env_steps 1001, episode_sum_max_reward_per_step 39.679999, episode_sum_max_abs_reward_per_step 39.679999, mean_reward_over_100_episodes_from_training 10.55±07.64, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0009, mean_reward_over_100_episodes_from_eval 10.97±07.93
2025-12-29 23:09:52,271 | INFO | [default | seed 33] elapsed_time 00:19:10, episode 0023, episode_env_steps 1001, episode_sum_max_reward_per_step 39.549999, episode_sum_max_abs_reward_per_step 39.549999, mean_reward_over_100_episodes_from_training 11.15±08.01, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0009, mean_reward_over_100_episodes_from_eval 11.58±08.28
2025-12-29 23:10:38,432 | INFO | [default | seed 33] elapsed_time 00:19:56, episode 0024, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 11.71±08.31, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0009, mean_reward_over_100_episodes_from_eval 12.17±08.63
2025-12-29 23:11:24,394 | INFO | [default | seed 33] elapsed_time 00:20:42, episode 0025, episode_env_steps 1001, episode_sum_max_reward_per_step 39.689999, episode_sum_max_abs_reward_per_step 39.689999, mean_reward_over_100_episodes_from_training 12.18±08.49, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0009, mean_reward_over_100_episodes_from_eval 12.70±08.85
2025-12-29 23:12:10,218 | INFO | [default | seed 33] elapsed_time 00:21:28, episode 0026, episode_env_steps 1001, episode_sum_max_reward_per_step 39.709999, episode_sum_max_abs_reward_per_step 39.709999, mean_reward_over_100_episodes_from_training 12.62±08.62, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0009, mean_reward_over_100_episodes_from_eval 13.12±08.95
2025-12-29 23:12:55,726 | INFO | [default | seed 33] elapsed_time 00:22:13, episode 0027, episode_env_steps 1001, episode_sum_max_reward_per_step 39.689999, episode_sum_max_abs_reward_per_step 39.689999, mean_reward_over_100_episodes_from_training 13.05±08.75, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0009, mean_reward_over_100_episodes_from_eval 13.45±08.96
2025-12-29 23:13:42,934 | INFO | [default | seed 33] elapsed_time 00:23:01, episode 0028, episode_env_steps 1001, episode_sum_max_reward_per_step 39.619999, episode_sum_max_abs_reward_per_step 39.619999, mean_reward_over_100_episodes_from_training 13.39±08.79, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0009, mean_reward_over_100_episodes_from_eval 13.73±08.93
2025-12-29 23:14:28,218 | INFO | [default | seed 33] elapsed_time 00:23:46, episode 0029, episode_env_steps 1001, episode_sum_max_reward_per_step 39.659999, episode_sum_max_abs_reward_per_step 39.659999, mean_reward_over_100_episodes_from_training 13.76±08.87, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0009, mean_reward_over_100_episodes_from_eval 13.89±08.82
2025-12-29 23:15:14,615 | INFO | [default | seed 33] elapsed_time 00:24:32, episode 0030, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 14.05±08.87, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0009, mean_reward_over_100_episodes_from_eval 14.23±08.88
2025-12-29 23:16:01,574 | INFO | [default | seed 33] elapsed_time 00:25:19, episode 0031, episode_env_steps 1001, episode_sum_max_reward_per_step 39.559999, episode_sum_max_abs_reward_per_step 39.559999, mean_reward_over_100_episodes_from_training 14.44±09.00, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0009, mean_reward_over_100_episodes_from_eval 14.61±08.98
2025-12-29 23:16:47,779 | INFO | [default | seed 33] elapsed_time 00:26:05, episode 0032, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 14.81±09.10, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0009, mean_reward_over_100_episodes_from_eval 14.99±09.11
2025-12-29 23:17:33,554 | INFO | [default | seed 33] elapsed_time 00:26:51, episode 0033, episode_env_steps 1001, episode_sum_max_reward_per_step 39.569999, episode_sum_max_abs_reward_per_step 39.569999, mean_reward_over_100_episodes_from_training 15.21±09.26, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0009, mean_reward_over_100_episodes_from_eval 15.41±09.29
2025-12-29 23:18:18,526 | INFO | [default | seed 33] elapsed_time 00:27:36, episode 0034, episode_env_steps 1001, episode_sum_max_reward_per_step 39.679999, episode_sum_max_abs_reward_per_step 39.679999, mean_reward_over_100_episodes_from_training 15.63±09.45, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 15.86±09.52
2025-12-29 23:19:03,659 | INFO | [default | seed 33] elapsed_time 00:28:21, episode 0035, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 16.05±09.63, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 16.24±09.66
2025-12-29 23:19:49,756 | INFO | [default | seed 33] elapsed_time 00:29:07, episode 0036, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 16.44±09.79, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 16.58±09.74
2025-12-29 23:20:34,536 | INFO | [default | seed 33] elapsed_time 00:29:52, episode 0037, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 16.78±09.87, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 16.87±09.78
2025-12-29 23:21:20,136 | INFO | [default | seed 33] elapsed_time 00:30:38, episode 0038, episode_env_steps 1001, episode_sum_max_reward_per_step 39.539999, episode_sum_max_abs_reward_per_step 39.539999, mean_reward_over_100_episodes_from_training 17.13±09.99, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 17.14±09.79
2025-12-29 23:22:06,423 | INFO | [default | seed 33] elapsed_time 00:31:24, episode 0039, episode_env_steps 1001, episode_sum_max_reward_per_step 39.449999, episode_sum_max_abs_reward_per_step 39.449999, mean_reward_over_100_episodes_from_training 17.54±10.20, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 17.51±09.94
2025-12-29 23:22:52,000 | INFO | [default | seed 33] elapsed_time 00:32:10, episode 0040, episode_env_steps 1001, episode_sum_max_reward_per_step 39.569999, episode_sum_max_abs_reward_per_step 39.569999, mean_reward_over_100_episodes_from_training 17.96±10.40, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 17.96±10.23
2025-12-29 23:23:39,428 | INFO | [default | seed 33] elapsed_time 00:32:57, episode 0041, episode_env_steps 1001, episode_sum_max_reward_per_step 39.619999, episode_sum_max_abs_reward_per_step 39.619999, mean_reward_over_100_episodes_from_training 18.28±10.48, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 18.34±10.38
2025-12-29 23:24:25,089 | INFO | [default | seed 33] elapsed_time 00:33:43, episode 0042, episode_env_steps 1001, episode_sum_max_reward_per_step 39.589999, episode_sum_max_abs_reward_per_step 39.589999, mean_reward_over_100_episodes_from_training 18.68±10.69, mean_exploration_ratio_over_100_episodes_from_training 0.0145±0.0008, mean_reward_over_100_episodes_from_eval 18.76±10.62
2025-12-29 23:25:11,963 | INFO | [default | seed 33] elapsed_time 00:34:30, episode 0043, episode_env_steps 1001, episode_sum_max_reward_per_step 39.689999, episode_sum_max_abs_reward_per_step 39.689999, mean_reward_over_100_episodes_from_training 19.03±10.81, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 19.14±10.79
2025-12-29 23:25:57,801 | INFO | [default | seed 33] elapsed_time 00:35:15, episode 0044, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 19.32±10.86, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 19.39±10.80
2025-12-29 23:26:44,985 | INFO | [default | seed 33] elapsed_time 00:36:03, episode 0045, episode_env_steps 1001, episode_sum_max_reward_per_step 39.689999, episode_sum_max_abs_reward_per_step 39.689999, mean_reward_over_100_episodes_from_training 19.55±10.85, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 19.68±10.86
2025-12-29 23:27:30,825 | INFO | [default | seed 33] elapsed_time 00:36:48, episode 0046, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 19.81±10.88, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 20.00±10.95
2025-12-29 23:28:18,106 | INFO | [default | seed 33] elapsed_time 00:37:36, episode 0047, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 20.08±10.93, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 20.33±11.07
2025-12-29 23:29:04,905 | INFO | [default | seed 33] elapsed_time 00:38:23, episode 0048, episode_env_steps 1001, episode_sum_max_reward_per_step 39.599999, episode_sum_max_abs_reward_per_step 39.599999, mean_reward_over_100_episodes_from_training 20.38±11.01, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 20.63±11.16
2025-12-29 23:29:51,791 | INFO | [default | seed 33] elapsed_time 00:39:09, episode 0049, episode_env_steps 1001, episode_sum_max_reward_per_step 39.599999, episode_sum_max_abs_reward_per_step 39.599999, mean_reward_over_100_episodes_from_training 20.63±11.04, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 20.90±11.20
2025-12-29 23:30:38,367 | INFO | [default | seed 33] elapsed_time 00:39:56, episode 0050, episode_env_steps 1001, episode_sum_max_reward_per_step 39.589999, episode_sum_max_abs_reward_per_step 39.589999, mean_reward_over_100_episodes_from_training 20.90±11.09, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 21.10±11.19
2025-12-29 23:31:24,245 | INFO | [default | seed 33] elapsed_time 00:40:42, episode 0051, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 21.08±11.07, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 21.30±11.17
2025-12-29 23:32:10,521 | INFO | [default | seed 33] elapsed_time 00:41:28, episode 0052, episode_env_steps 1001, episode_sum_max_reward_per_step 39.629999, episode_sum_max_abs_reward_per_step 39.629999, mean_reward_over_100_episodes_from_training 21.27±11.04, mean_exploration_ratio_over_100_episodes_from_training 0.0144±0.0008, mean_reward_over_100_episodes_from_eval 21.50±11.16
2025-12-29 23:32:56,451 | INFO | [default | seed 33] elapsed_time 00:42:14, episode 0053, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 21.47±11.04, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0008, mean_reward_over_100_episodes_from_eval 21.66±11.11
2025-12-29 23:33:44,120 | INFO | [default | seed 33] elapsed_time 00:43:02, episode 0054, episode_env_steps 1001, episode_sum_max_reward_per_step 39.699999, episode_sum_max_abs_reward_per_step 39.699999, mean_reward_over_100_episodes_from_training 21.66±11.02, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0008, mean_reward_over_100_episodes_from_eval 21.86±11.11
2025-12-29 23:34:30,238 | INFO | [default | seed 33] elapsed_time 00:43:48, episode 0055, episode_env_steps 1001, episode_sum_max_reward_per_step 39.559999, episode_sum_max_abs_reward_per_step 39.559999, mean_reward_over_100_episodes_from_training 21.86±11.02, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0008, mean_reward_over_100_episodes_from_eval 22.15±11.21
2025-12-29 23:35:17,202 | INFO | [default | seed 33] elapsed_time 00:44:35, episode 0056, episode_env_steps 1001, episode_sum_max_reward_per_step 39.509999, episode_sum_max_abs_reward_per_step 39.509999, mean_reward_over_100_episodes_from_training 22.08±11.05, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 22.37±11.24
2025-12-29 23:36:04,772 | INFO | [default | seed 33] elapsed_time 00:45:22, episode 0057, episode_env_steps 1001, episode_sum_max_reward_per_step 39.689999, episode_sum_max_abs_reward_per_step 39.689999, mean_reward_over_100_episodes_from_training 22.25±11.03, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 22.41±11.15
2025-12-29 23:36:51,937 | INFO | [default | seed 33] elapsed_time 00:46:10, episode 0058, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 22.40±11.00, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 22.61±11.15
2025-12-29 23:37:38,730 | INFO | [default | seed 33] elapsed_time 00:46:56, episode 0059, episode_env_steps 1001, episode_sum_max_reward_per_step 39.649999, episode_sum_max_abs_reward_per_step 39.649999, mean_reward_over_100_episodes_from_training 22.51±10.94, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 22.80±11.16
2025-12-29 23:38:25,505 | INFO | [default | seed 33] elapsed_time 00:47:43, episode 0060, episode_env_steps 1001, episode_sum_max_reward_per_step 39.619999, episode_sum_max_abs_reward_per_step 39.619999, mean_reward_over_100_episodes_from_training 22.69±10.94, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 22.98±11.15
2025-12-29 23:39:13,015 | INFO | [default | seed 33] elapsed_time 00:48:31, episode 0061, episode_env_steps 1001, episode_sum_max_reward_per_step 39.639999, episode_sum_max_abs_reward_per_step 39.639999, mean_reward_over_100_episodes_from_training 22.87±10.94, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 23.19±11.18
2025-12-29 23:40:00,029 | INFO | [default | seed 33] elapsed_time 00:49:18, episode 0062, episode_env_steps 1001, episode_sum_max_reward_per_step 39.719999, episode_sum_max_abs_reward_per_step 39.719999, mean_reward_over_100_episodes_from_training 23.03±10.92, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 23.39±11.20
2025-12-29 23:40:46,631 | INFO | [default | seed 33] elapsed_time 00:50:04, episode 0063, episode_env_steps 1001, episode_sum_max_reward_per_step 39.599999, episode_sum_max_abs_reward_per_step 39.599999, mean_reward_over_100_episodes_from_training 23.20±10.92, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 23.55±11.19
2025-12-29 23:41:33,817 | INFO | [default | seed 33] elapsed_time 00:50:51, episode 0064, episode_env_steps 1001, episode_sum_max_reward_per_step 39.669999, episode_sum_max_abs_reward_per_step 39.669999, mean_reward_over_100_episodes_from_training 23.35±10.90, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 23.73±11.19
2025-12-29 23:42:20,738 | INFO | [default | seed 33] elapsed_time 00:51:38, episode 0065, episode_env_steps 1001, episode_sum_max_reward_per_step 39.609999, episode_sum_max_abs_reward_per_step 39.609999, mean_reward_over_100_episodes_from_training 23.52±10.91, mean_exploration_ratio_over_100_episodes_from_training 0.0143±0.0009, mean_reward_over_100_episodes_from_eval 23.85±11.15
2025-12-29 23:43:08,150 | INFO | [default | seed 33] elapsed_time 00:52:26, episode 0066, episode_env_steps 1001, episode_sum_max_reward_per_step 39.699999, episode_sum_max_abs_reward_per_step 39.699999, mean_reward_over_100_episodes_from_training 23.69±10.91, mean_exploration_ratio_over_100_episodes_from_training 0.0142±0.0009, mean_reward_over_100_episodes_from_eval 23.98±11.11
